pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,,,,no.,sequential,random
-150,z,,,,,2,2,10,3,161.4531094,162.4504213,162.4504213,162.4504213,162.4504213,162.4669382,163.4474786,163.4474786,z,1,0.5329359,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
50,c,,,,,2,3,11,2,164.0128096,165.010193,165.010193,165.010193,165.010193,165.0268761,166.0074261,166.0074261,c,1,0.4446422,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
-50,x,,,,,3,0,12,0,166.4729408,167.4701198,167.4701198,167.4701198,167.4701198,167.486938,168.4677131,168.4677131,x,1,0.4990008,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
50,c,,,,,3,1,13,2,168.9990357,169.996944,169.996944,169.996944,169.996944,170.0133981,170.9941885,170.9941885,c,1,0.3474823,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
150,v,,,,,3,2,14,1,171.3598354,172.3569591,172.3569591,172.3569591,172.3569591,172.3738936,173.354307,173.354307,v,1,0.5970259,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
-150,z,,,,,3,3,15,3,173.9690303,174.9666636,174.9666636,174.9666636,174.9666636,174.9831319,175.96428,175.96428,z,1,0.4448377,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
50,c,,,,,4,0,16,2,176.4293063,177.4263444,177.4263444,177.4263444,177.4263444,177.4431124,178.4237256,178.4237256,c,1,0.4108187,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
-150,z,,,,,4,1,17,3,178.855736,179.8532899,179.8532899,179.8532899,179.8532899,179.8697053,180.8502683,180.8502683,z,1,0.5713357,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
50,c,,,,,4,2,18,2,181.4486888,182.4462725,182.4462725,182.4462725,182.4462725,182.4627975,183.4436978,183.4436978,c,1,0.4852509,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
50,c,,,,,4,3,19,2,183.9587161,184.9559764,184.9559764,184.9559764,184.9559764,184.9725665,185.9540036,185.9540036,c,1,0.5966662,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
-150,z,,,,,5,0,20,3,186.5683071,187.5657954,187.5657954,187.5657954,187.5657954,187.5822604,188.5631095,188.5631095,z,1,0.4503016,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
50,c,,,,,5,1,21,2,189.0449201,190.0421903,190.0421903,190.0421903,190.0421903,190.0587942,191.0395605,191.0395605,c,1,0.396478,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
-50,x,,,,,5,2,22,0,191.4550047,192.4523434,192.4523434,192.4523434,192.4523434,192.4689987,193.449519,193.449519,z,0,0.4253531,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
150,v,,,,,5,3,23,1,193.8983007,194.8953773,194.8953773,194.8953773,194.8953773,194.9121494,195.892727,195.892727,v,1,0.3893746,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
